RoomNo		StudentID		UnitID		LecturerName		Date			WeekNo
216			2014001			ECSI410		Dr.Foster			30/12/2015		01
216			2014002			ECSI410		Dr.Foster			30/12/2015		01
216			2014003			ECSI410		Dr.Foster			30/12/2015		01
216			2014004			ECSI410		Dr.Foster			30/12/2015		01
217			2014112			ECSI412		Dr.Khan				30/12/2015		01
217			2014113			ECSI412		Dr.Khan				30/12/2015		01
217			2014114			ECSI412		Dr.Khan				30/12/2015		01
217			2014115			ECSI412		Dr.Khan				30/12/2015		01
218 		2014134			ECSI416		Dr.Brendon			30/12/2015		01
218 		2014135			ECSI416		Dr.Brendon			30/12/2015		01
220 		2014145			ECSI422		Dr.Holmes			30/12/2015		01
220 		2014146			ECSI422		Dr.Holmes			30/12/2015		01
